Key,File,Type,UsedInMainMenu,NoTranslate,english
loadingTipMainWWHUD,UI,Loading Screen,,,This is a test of the HUD Main screen.  Blah Blah.......,,,,,
loadingTipMainWWHUD_title,UI,Loading Screen,x,,Test of the Main Screen Bars,,,,,
buffsmallBed,items,Medical,KgNone,Small bed,,,,,
buffsmallBedDesc,items,Medical,New,A small bed will help you rest up.,,,,,
tutorialTipQuest01,Journal Tip,,,,"Welcome to the WinterWeen Project\nExplore and try to survive in the frozen madness of WinterWeen.\n\n-sphereii and xyth",,,,,
quest_WhiteRiverCitizen1_description,Quest,Quest Info,,,"We have marked your map with the nearest White River Outpost location, though few ever seem to make it that far. You better head that way before you freeze or starve to death.\n\nRumor is that other survivors might have dug too deep and released more than the dead, so don't go out at night!",,,,
foodHoneyFrozen,items,Food,newKey,"Frozen Jar of Honey",,,,,
foodCanBeefFrozen,items,Food,newKey,"Frozen Large Beef Ration",,,,,
foodCanChickenFrozen,items,Food,newKey,"Frozen Chicken Ration",,,,,
foodCanLambFrozen,items,Food,newKey,"Frozen Lamb Rations",,,,,
foodCanCatfoodFrozen,items,Food,newKey,"Frozen Can of Cat Food",,,,,
foodCanDogfoodFrozen,items,Food,newKey,"Frozen Can of Dog Food",,,,,
foodCanChiliFrozen,items,Food,newKey,"Frozen Can of Chili",,,,,
foodCanTunaFrozen,items,Food,newKey,"Frozen Can of Tuna",,,,,
foodCanShamFrozen,items,Food,newKey,"Frozen Can of Sham",,,,,
foodCanPastaFrozen,items,Food,newKey,"Frozen Can of Pasta",,,,,
foodCanSalmonFrozen,items,Food,newKey,"Frozen Can of Salmon",,,,,
foodCanMisoFrozen,items,Food,newKey,"Frozen Can of Miso",,,,,
foodCanPeasFrozen,items,Food,newKey,"Frozen Can of Peas",,,,,
foodCanPearsFrozen,items,Food,newKey,"Frozen Can of Pears",,,,,
foodCanSoupFrozen,items,Food,newKey,"Frozen Chicken Soup",,,,,
foodCanStockFrozen,items,Food,newKey,"Frozen Can of Stock",,,,,
foodCornOnTheCobFrozen,items,Food,newKey,"Frozen Corn on the Cob",,,,,
foodCornBreadFrozen,items,Food,newKey,"Frozen Corn Bread",,,,,
foodMoldyBreadFrozen,items,Food,newKey,"Frozen Moldy Bread",,,,,
foodShamSandwichFrozen,items,Food,newKey,"Frozen Old Sham Sandwich",,,,,
foodCharredMeatFrozen,items,Food,newKey,"Frozen Charred Meat",,,,,
foodGrilledMeatFrozen,items,Food,newKey,"Frozen Grilled Meat",,,,,
foodBoiledMeatFrozen,items,Food,newKey,"Frozen Boiled Meat",,,,,
foodMeatStewFrozen,items,Food,newKey,"Frozen Meat Stew",,,,,
